Title,Company,Location,Job Type,Job Link,Référence,Publiée le,Type de poste,Lieu de travail,Expérience,Étude,Disponibilité,Langues,Salary,Mobility
AGENT DE RECOUVREMENT & FACTURATION - FRANCE,ETAI TUNISIE/INFOPRO DIGITAL,Ariana,"CDI, ,, SIVP",https://www.keejob.com/offres-emploi/212122/agent-de-recouvrement-facturation-france/,212122,29 novembre 2024,"CDI, ,, SIVP","La Soukra, Ariana, Tunisie",Entre 1 et 2 ans,Formations professionnelles,Plein temps,Français,1000 - 1500 DT / Mois,
Télévendeurs BtoB Expérimenté,ADVANCIA TELESERVICES,Tunis,"CDI, ,, SIVP",https://www.keejob.com/offres-emploi/211080/t%C3%A9l%C3%A9vendeurs-btob-exp%C3%A9riment%C3%A9/,211080,29 novembre 2024,"CDI, ,, SIVP","El Kram, Tunis, Tunisie",Entre 1 et 2 ans,Bac,Plein temps,Français,1300 - 1500 DT / Mois,
Superviseur chiffrage,ONETECH HOLDING,Bizerte,CDI,https://www.keejob.com/offres-emploi/211969/superviseur-chiffrage/,211969,29 novembre 2024,CDI,"Menzel Jemil, Bizerte, Tunisie",Entre 2 et 5 ans,Bac + 3,Plein temps,"Français , Anglais",,Locale
Acheteur,TTP THOMAS TUNISIE PLASTIC,Ben Arous,"CDI, ,, CDD, ,, SIVP",https://www.keejob.com/offres-emploi/211109/acheteur/,211109,29 novembre 2024,"CDI, ,, CDD, ,, SIVP","Megrine, Ben Arous, Tunisie",Entre 2 et 5 ans,Bac + 3,Plein temps,"Arabe , Français , Anglais",,
Assurance santé,MEZZO,Tunis,"CDI, ,, SIVP",https://www.keejob.com/offres-emploi/211402/assurance-sant%C3%A9/,211402,29 novembre 2024,"CDI, ,, SIVP","Tunis, Tunisie",Entre 1 et 2 ans,Bac,Plein temps,Français,1200 - 1400 DT / Mois,
RESPONSABLE STOCK,,Béja,CDI,https://www.keejob.com/offres-emploi/210584/responsable-stock/,210584,29 novembre 2024,CDI,"Beja Nord, Béja, Tunisie",Entre 5 et 10 ans,Bac + 3,Plein temps,"Arabe , Français , Anglais",,Locale
Télévendeurs BtoC,ADVANCIA TELESERVICES,Tunis,CDI,https://www.keejob.com/offres-emploi/211084/t%C3%A9l%C3%A9vendeurs-btoc/,211084,29 novembre 2024,CDI,"El Kram, Tunis, Tunisie",Entre 1 et 2 ans,Bac + 2,Plein temps,Français,1000 - 1150 DT / Mois,
Comptable (Comptabilité Française),PARTNER RECRUITMENT,Tunis,Unspecified,https://www.keejob.com/offres-emploi/210629/comptable-comptabilit%C3%A9-fran%C3%A7aise/,210629,29 novembre 2024,,"Tunis, Tunisie",Entre 2 et 5 ans,Bac + 5,Plein temps,Français,1700 - 1800 DT / Mois,
Responsable Equipe,ADVANCIA TELESERVICES,Tunis,CDI,https://www.keejob.com/offres-emploi/211082/responsable-equipe/,211082,29 novembre 2024,CDI,"El Kram, Tunis, Tunisie",Entre 2 et 5 ans,Bac + 3,Plein temps,Français,1 - 2 DT / Mois,
Corporate Relationship Manager,BANK ABC,Tunis,Unspecified,https://www.keejob.com/offres-emploi/198189/corporate-relationship-manager/,198189,29 novembre 2024,,"Tunis, Tunisie",Entre 5 et 10 ans,Bac + 5,Plein temps,,,
Chargé(e) Recrutement,ETAI TUNISIE/INFOPRO DIGITAL,Tunis,CDI,https://www.keejob.com/offres-emploi/212119/charg%C3%A9e-recrutement/,212119,29 novembre 2024,CDI,"Tunis, Tunisie",Entre 1 et 2 ans,Bac + 3,Plein temps,"Français , Anglais",1000 - 1300 DT / Mois,
Chef de fabrication,ETABLISSEMENTS ABDELMOULA,La Manouba,CDD,https://www.keejob.com/offres-emploi/211628/chef-de-fabrication/,211628,29 novembre 2024,CDD,"Mannouba, La Manouba, Tunisie",Entre 2 et 5 ans,Bac + 3,Plein temps,"Arabe , Français",1500 - DT / Mois,
Responsable technique,AGENCE CITROËN MNIHLA,Ariana,CDI,https://www.keejob.com/offres-emploi/210628/responsable-technique-agence-automobile/,210628,29 novembre 2024,CDI,"Mnihla, Ariana, Tunisie",Entre 2 et 5 ans,Bac + 5,Plein temps,"Arabe , Français , Anglais",1000 - 1500 DT / Mois,
Customer Care Représentative Italophone M/F,Manpower,Ariana,CDI,https://www.keejob.com/offres-emploi/210613/customer-care-repr%C3%A9sentative-italophone-mf/,210613,29 novembre 2024,CDI,"Ariana, Tunisie",Moins d'un an,Bac + 2,Plein temps,"Anglais , Italien",1100 - 1200 DT / Mois,
HR Development Manager,BANK ABC,Tunis,CDI,https://www.keejob.com/offres-emploi/200591/hr-development-manager/,200591,29 novembre 2024,CDI,"Tunis, Tunisie",Plus que 10 ans,Bac + 5,Plein temps,"Arabe , Français , Anglais",,
Chargés conduite d’activité,OUTSOURCIA,Ariana,"CDI, ,, SIVP",https://www.keejob.com/offres-emploi/211771/charg%C3%A9s-conduite-dactivit%C3%A9/,211771,29 novembre 2024,"CDI, ,, SIVP","Ariana, Tunisie",Aucune expérience,Bac + 2,Plein temps,Français,800 - 1200 DT / Mois,
Assistante médicale,SOTUBI,La Manouba,CDD,https://www.keejob.com/offres-emploi/212100/assistante-m%C3%A9dicale/,212100,29 novembre 2024,CDD,"Borj El Amri, La Manouba, Tunisie",Entre 1 et 2 ans,Bac + 3,Plein temps,"Arabe , Français",1 - DT / Mois,Locale
Technicien supérieur en électricité H/F,,Bizerte,"CDD, ,, Intérim",https://www.keejob.com/offres-emploi/212104/technicien-sup%C3%A9rieur-en-%C3%A9lectricit%C3%A9-hf/,212104,29 novembre 2024,"CDD, ,, Intérim","Menzel Bourguiba, Bizerte, Tunisie",Moins d'un an,Bac + 3,Plein temps,Arabe,800 - 1500 DT / Mois,Locale
GESTIONNAIRE DE DONNEES WEB,ETAI TUNISIE/INFOPRO DIGITAL,Ariana,CDI,https://www.keejob.com/offres-emploi/210603/gestionnaire-de-donnees-web/,210603,29 novembre 2024,CDI,"La Soukra, Ariana, Tunisie",Entre 1 et 2 ans,Formations professionnelles,Plein temps,"Français , Anglais",1000 - 1500 DT / Mois,
"Team Lead Comptabilité , Sousse",VEO WORLDWIDE SERVICES,Sousse,CDI,https://www.keejob.com/offres-emploi/210596/team-lead-comptabilit%C3%A9-sousse/,210596,29 novembre 2024,CDI,"Sousse, Tunisie",Entre 5 et 10 ans,Bac + 5,Plein temps,Français,,International
"IT Support Technician, Tunis",VEO WORLDWIDE SERVICES,Tunis,CDI,https://www.keejob.com/offres-emploi/212124/it-support-technician-tunis/,212124,29 novembre 2024,CDI,"Tunis, Tunisie",Entre 1 et 2 ans,Bac + 3,Plein temps,"Français , Anglais",,
Conducteur de travaux génie civil,CRIT,Abidjan,CDI,https://www.keejob.com/offres-emploi/211446/conducteur-de-travaux-g%C3%A9nie-civil/,211446,29 novembre 2024,CDI,"Abidjan, Côte d'Ivoire",Plus que 10 ans,Bac + 3,Plein temps,Français,,
Téléconseiller Prise de Rendez-vous BtoB,ADVANCIA TELESERVICES,Tunis,CDI,https://www.keejob.com/offres-emploi/211079/t%C3%A9l%C3%A9conseiller-prise-de-rendez-vous-btob/,211079,29 novembre 2024,CDI,"El Kram, Tunis, Tunisie",Entre 1 et 2 ans,Bac + 2,Plein temps,Français,900 - DT / Mois,
Technicien de Production,MISFAT,La Manouba,"CDD, ,, SIVP",https://www.keejob.com/offres-emploi/211422/ts-production/,211422,29 novembre 2024,"CDD, ,, SIVP","Jedaida, La Manouba, Tunisie",Entre 1 et 2 ans,Bac + 3,Plein temps,"Arabe , Français , Anglais",,
HR Generalist–Social ＆ Administration Affairs,BANK ABC,Tunis,"CDI, ,, CDD, ,, SIVP",https://www.keejob.com/offres-emploi/198438/hr-generalistsocial-administration-affairs/,198438,29 novembre 2024,"CDI, ,, CDD, ,, SIVP","Tunis, Tunisie",Entre 1 et 2 ans,Bac + 5,Plein temps,"Arabe , Français , Anglais",,
Technicien de câblage informatique,NG-MULTIMEDIA,Tunis,"CDD, ,, SIVP",https://www.keejob.com/offres-emploi/212101/technicien-de-c%C3%A2blage-informatique/,212101,29 novembre 2024,"CDD, ,, SIVP","El Menzah, Tunis, Tunisie",Moins d'un an,Bac + 3,Plein temps,"Arabe , Français",700 - DT / Mois,
Ingénieur génie civil,POULINA GROUP HOLDING,Ben Arous,CDD,https://www.keejob.com/offres-emploi/211447/ing%C3%A9nieur-g%C3%A9nie-civil/,211447,29 novembre 2024,CDD,"Ezzahra, Ben Arous, Tunisie",Entre 2 et 5 ans,Bac + 5,Plein temps,"Arabe , Français , Anglais",,
01-Régleur injection,PLASTIC ELECTROMECHANIC COMPANY PEC,Zaghouan,"CDI, ,, CDD",https://www.keejob.com/offres-emploi/211432/01-r%C3%A9gleur-injection/,211432,29 novembre 2024,"CDI, ,, CDD","Hammam Zriba, Zaghouan, Tunisie",Entre 1 et 2 ans,Bac,Plein temps,"Arabe , Français",,
Wholesale Banking Credit Analyst,BANK ABC,Tunis,CDI,https://www.keejob.com/offres-emploi/210511/wholesale-banking-credit-analyst/,210511,29 novembre 2024,CDI,"Tunis, Tunisie",Entre 2 et 5 ans,Bac + 5,Plein temps,"Arabe , Français , Anglais",,
contrôleur géneral,MOVENPICK HÔTEL DU LAC TUNIS,Tunis,CDD,https://www.keejob.com/offres-emploi/211652/contr%C3%B4leur-g%C3%A9neral/,211652,29 novembre 2024,CDD,"Tunis, Tunisie",Entre 2 et 5 ans,Bac + 3,Plein temps,,1200 - 2000 DT / Mois,
AGENT IMMOBILIER TECNOCASA GT,TECNOCASA GROUP,Tunis,"CDI, ,, CDD, ,, SIVP",https://www.keejob.com/offres-emploi/212109/agent-immobilier-tecnocasa-gt/,212109,29 novembre 2024,"CDI, ,, CDD, ,, SIVP","Tunis, Tunisie",Entre 1 et 2 ans,Bac + 2,Plein temps,"Arabe , Français",750 - DT / Mois,Locale
Conseillers Humanitaires,ACTIVE CONTACT,Tunis,"CDI, ,, SIVP",https://www.keejob.com/offres-emploi/212118/conseillers-humanitaires/,212118,29 novembre 2024,"CDI, ,, SIVP","Centre ville, Tunis, Tunisie",Moins d'un an,Bac,Plein temps,Français,1000 - 1500 DT / Mois,
Chargé de Recouvrement,PARTNER RECRUITMENT,Tunis,CDI,https://www.keejob.com/offres-emploi/211568/charg%C3%A9-de-recouvrement/,211568,29 novembre 2024,CDI,"Tunis, Tunisie",Entre 5 et 10 ans,Bac + 3,Plein temps,Français,,
Assistante commerciale et accueil,STRAM,Ben Arous,"CDI, ,, CDD, ,, SIVP",https://www.keejob.com/offres-emploi/212095/assistante-commerciale-et-accueil/,212095,29 novembre 2024,"CDI, ,, CDD, ,, SIVP","Megrine, Ben Arous, Tunisie",Moins d'un an,Bac + 3,Plein temps,"Arabe , Français",,
IT Manager,,Tunis,CDI,https://www.keejob.com/offres-emploi/211807/it-manager/,211807,29 novembre 2024,CDI,"Tunis, Tunisie",Entre 5 et 10 ans,Bac + 5,Plein temps,,,"Locale, International"
Techniciens maintenance Tunis et Sousse,GES XEROX,Tunis,"CDD, ,, SIVP",https://www.keejob.com/offres-emploi/210871/techniciens-maintenance-tunis-et-sousse/,210871,29 novembre 2024,"CDD, ,, SIVP","Cite El Khadra, Tunis, Tunisie",Entre 1 et 2 ans,Bac + 3,Plein temps,"Français , Anglais",1 - DT / Mois,Locale
Responsable RH,MISFAT,La Manouba,"CDD, ,, SIVP",https://www.keejob.com/offres-emploi/211421/responsable-rh/,211421,29 novembre 2024,"CDD, ,, SIVP","Mannouba, La Manouba, Tunisie",Entre 1 et 2 ans,Bac + 3,Plein temps,"Arabe , Français , Anglais",,
Agent de vérification des données Espagnol,PARTNER RECRUITMENT,Ariana,Unspecified,https://www.keejob.com/offres-emploi/211263/agent-de-v%C3%A9rification-des-donn%C3%A9es-espagnol/,211263,29 novembre 2024,,"Ariana, Tunisie",Entre 1 et 2 ans,Bac + 3,Plein temps,"Anglais , Espagnol",900 - 1200 DT / Mois,
Team Leader R&D (Java),BINITNS,Tunis,CDI,https://www.keejob.com/offres-emploi/211366/team-leader-rd-java/,211366,29 novembre 2024,CDI,"Tunis, Tunisie",Entre 5 et 10 ans,Bac + 5,Plein temps,"Français , Anglais",,
Commercial Terrain (Grand Tunis/Hammamet),PARTNER RECRUITMENT,Tunis,CDI,https://www.keejob.com/offres-emploi/211797/commercial-terrain-grand-tunishammamet/,211797,29 novembre 2024,CDI,"Tunis, Tunisie",Entre 2 et 5 ans,Bac + 3,Plein temps,,1800 - 2000 DT / Mois,
Technicien Qualité,,Tunis,SIVP,https://www.keejob.com/offres-emploi/212091/technicien-qualit%C3%A9/,212091,29 novembre 2024,SIVP,"Tunis, Tunisie",Aucune expérience,Bac + 3,Plein temps,"Arabe , Français",400 - 500 DT / Mois,Locale
Carrossier Peintre,AGENCE CITROËN MNIHLA,Ariana,"CDD, ,, SIVP",https://www.keejob.com/offres-emploi/210627/carrossier-peintre/,210627,29 novembre 2024,"CDD, ,, SIVP","Ariana Ville, Ariana, Tunisie",Entre 2 et 5 ans,Formations professionnelles,Plein temps,"Arabe , Français",600 - 1000 DT / Mois,
Financier,AGENCE CITROËN MNIHLA,Ariana,"CDI, ,, CDD",https://www.keejob.com/offres-emploi/210632/financier/,210632,29 novembre 2024,"CDI, ,, CDD","Ariana Ville, Ariana, Tunisie",Entre 2 et 5 ans,Bac + 3,Plein temps,"Arabe , Français , Anglais",600 - 1000 DT / Mois,Locale
Ingénieur Méthode et Maintenance,ETABLISSEMENTS ABDELMOULA,La Manouba,CDI,https://www.keejob.com/offres-emploi/211382/ing%C3%A9nieur-m%C3%A9thode-et-maintenance/,211382,29 novembre 2024,CDI,"Mannouba, La Manouba, Tunisie",Entre 2 et 5 ans,Bac + 5,Plein temps,"Arabe , Français , Anglais",2000 - DT / Mois,
