Title,Company,Location,Job Type,Job Link,Référence,Publiée le,Type de poste,Lieu de travail,Expérience,Étude,Disponibilité,Langues,Salary,Mobility
Assistante juridique,MEDIGEST CONSULTING,Tunis,SIVP,https://www.keejob.com/offres-emploi/211880/assistante-juridique/,211880,25 novembre 2024,SIVP,"Bab Bhar, Tunis, Tunisie",Aucune expérience,Bac + 3,Plein temps,"Arabe , Français",700 - DT / Mois,
Gestionnaire en Assurances IARD,PROTECT + TUNISIE,Ariana,"CDI, ,, SIVP",https://www.keejob.com/offres-emploi/211886/gestionnaire-en-assurances-iard/,211886,25 novembre 2024,"CDI, ,, SIVP","Ariana Ville, Ariana, Tunisie",Entre 1 et 2 ans,Bac + 3,Plein temps,Français,1100 - 1400 DT / Mois,
Stage en SEO,ECOWEBY,Tunis,Stage,https://www.keejob.com/offres-emploi/211918/stage-en-seo/,211918,25 novembre 2024,Stage,"Centre ville, Tunis, Tunisie",Aucune expérience,Bac + 3,Plein temps,Français,10 - DT / Mois,
Java Developer,TAV TECHNOLOGIES,Sousse,"CDI, ,, CDD, ,, SIVP",https://www.keejob.com/offres-emploi/211716/java-developer-full-remote/,211716,25 novembre 2024,"CDI, ,, CDD, ,, SIVP","Sousse, Tunisie",Entre 2 et 5 ans,Bac + 3,Plein temps,Anglais,1800 - 2000 DT / Mois,
ASSISTANTE GRANDES ET MOYENNES SURFACES,,Tunis,"CDD, ,, SIVP",https://www.keejob.com/offres-emploi/211850/assistante-grandes-et-moyennes-surfaces/,211850,25 novembre 2024,"CDD, ,, SIVP","Tunis, Tunisie",Entre 1 et 2 ans,Bac + 2,Plein temps,"Arabe , Français",800 - 1000 DT / Mois,
Technicien de laboratoire,LABORATOIRE DANALYSES MÉDICALES DR MERIEM CHATTI,Tunis,SIVP,https://www.keejob.com/offres-emploi/211882/technicien-de-laboratoire/,211882,25 novembre 2024,SIVP,"La Goulette, Tunis, Tunisie",Moins d'un an,Bac + 2,Plein temps,,550 - DT / Mois,
Deutschsprachige Kandidaten,CPL JOBS,Tunis,"CDI, ,, SIVP",https://www.keejob.com/offres-emploi/211905/deutschsprachige-kandidaten/,211905,25 novembre 2024,"CDI, ,, SIVP","Tunis, Tunisie",Entre 2 et 5 ans,Bac + 2,Plein temps,Allemand,-1 - 1 DT / Mois,
Stagiaire Paie,TUNTEX,Ariana,Unspecified,https://www.keejob.com/offres-emploi/211922/stagiaire-paie/,211922,25 novembre 2024,,"Ariana, Tunisie",Aucune expérience,Formations professionnelles,Plein temps,,500 - DT / Mois,
Assistante dentaire,CABINET DENTAIRE,Tunis,Unspecified,https://www.keejob.com/offres-emploi/211827/assistante-dentaire/,211827,25 novembre 2024,,"El Menzah, Tunis, Tunisie",Entre 1 et 2 ans,Bac + 2,Plein temps,"Français , Anglais",600 - 1000 DT / Mois,
Chargé de Marketing et Création de Contenu,IKARIA,Tunis,Unspecified,https://www.keejob.com/offres-emploi/211924/charg%C3%A9-de-marketing-et-cr%C3%A9ation-de-contenu/,211924,25 novembre 2024,,"La Goulette, Tunis, Tunisie",Aucune expérience,Bac + 3,Plein temps,"Français , Anglais",,
Superviseur Commerciale (Zone: Bizerte),GROUPE JUDY,Bizerte,"CDI, ,, CDD",https://www.keejob.com/offres-emploi/211899/superviseur-commerciale-zone-bizerte/,211899,25 novembre 2024,"CDI, ,, CDD","Bizerte, Tunisie",Entre 2 et 5 ans,Secondaire,Plein temps,,1 - 2 DT / Mois,
Conseillers Clients Réception d'appels FR/ANG,CONCENTRIX,Ariana,"CDI, ,, CDD",https://www.keejob.com/offres-emploi/211522/conseillers-clients-r%C3%A9ception-dappels-frang/,211522,25 novembre 2024,"CDI, ,, CDD","Ariana, Tunisie",Aucune expérience,Secondaire,Plein temps,"Français , Anglais",700 - 1100 DT / Mois,
Conseillers Clients Réception d'appels FR/ANG,CONCENTRIX,Ariana,"CDI, ,, CDD",https://www.keejob.com/offres-emploi/211523/conseillers-clients-r%C3%A9ception-dappels-frang/,211523,25 novembre 2024,"CDI, ,, CDD","Ariana, Tunisie",Aucune expérience,Secondaire,Plein temps,"Français , Anglais",700 - 1100 DT / Mois,
Chauffeur,IMMOBILIÈRE GLOULOU,Sousse,CDD,https://www.keejob.com/offres-emploi/211925/chauffeur/,211925,25 novembre 2024,CDD,"Sousse Ville, Sousse, Tunisie",Entre 2 et 5 ans,Bac,Plein temps,"Arabe , Français",,
Souscripteur en Assurances IARD,PROTECT + TUNISIE,Ariana,"CDI, ,, SIVP",https://www.keejob.com/offres-emploi/211887/souscripteur-en-assurances-iard/,211887,25 novembre 2024,"CDI, ,, SIVP","Ariana Ville, Ariana, Tunisie",Entre 1 et 2 ans,Bac + 3,Plein temps,Français,1100 - 1400 DT / Mois,
Contrôleur de stock,POULINA GROUP HOLDING,Ben Arous,"CDD, ,, SIVP",https://www.keejob.com/offres-emploi/211893/contr%C3%B4leur-de-stock/,211893,25 novembre 2024,"CDD, ,, SIVP","Ezzahra, Ben Arous, Tunisie",Entre 1 et 2 ans,Bac + 3,Plein temps,"Arabe , Français , Anglais",,Locale
CHEF DE PRODUIT MARKETING,,Tunis,"CDI, ,, CDD",https://www.keejob.com/offres-emploi/211852/chef-de-produit-marketing/,211852,25 novembre 2024,"CDI, ,, CDD","Tunis, Tunisie",Entre 2 et 5 ans,Bac + 4,Plein temps,"Arabe , Français , Anglais",1200 - 1500 DT / Mois,Locale
Responsable Production,KBO AND CO,Tunis,Unspecified,https://www.keejob.com/offres-emploi/211869/responsable-productionbureau-d%C3%A9tudes/,211869,25 novembre 2024,,"Tunis, Tunisie",Entre 2 et 5 ans,Bac + 3,Plein temps,"Arabe , Français , Anglais",1000 - 2000 DT / Mois,"Locale, International"
Webmaster,ECOWEBY,Tunis,CDI,https://www.keejob.com/offres-emploi/211920/webmaster/,211920,25 novembre 2024,CDI,"Centre ville, Tunis, Tunisie",Entre 1 et 2 ans,Bac + 3,Plein temps,Français,10 - DT / Mois,
Représentants Commerciaux / Placiers,GROUPE JUDY,Nabeul,CDD,https://www.keejob.com/offres-emploi/211900/repr%C3%A9sentants-commerciaux-placiers/,211900,25 novembre 2024,CDD,"Dar Chaabane Elfehri, Nabeul, Tunisie",Entre 2 et 5 ans,Bac,Plein temps,"Arabe , Français",1 - 2 DT / Mois,Locale
Responsable d'Activité Expert en Télévente,ACTIVE CONTACT,Tunis,CDI,https://www.keejob.com/offres-emploi/211890/responsable-dactivit%C3%A9-expert-en-t%C3%A9l%C3%A9vente/,211890,25 novembre 2024,CDI,"Centre ville, Tunis, Tunisie",Entre 2 et 5 ans,Bac + 3,Plein temps,Français,2000 - 2500 DT / Mois,
Chargé (e) d'études,FOCUS MARKETING,Tunis,SIVP,https://www.keejob.com/offres-emploi/211892/charg%C3%A9-e-d%C3%A9tudes-junior/,211892,25 novembre 2024,SIVP,"Le Bardo, Tunis, Tunisie",Aucune expérience,Bac + 3,Plein temps,Français,,
Conseillers en Relations Humaines,TANIS,Ariana,"CDI, ,, SIVP",https://www.keejob.com/offres-emploi/211914/conseillers-en-relations-humaines/,211914,25 novembre 2024,"CDI, ,, SIVP","Ariana Ville, Ariana, Tunisie",Entre 2 et 5 ans,Bac + 2,Plein temps,Français,1000 - 1500 DT / Mois,
Ingénieur Génie Industriel,MED OIL CAMPANY,Zaghouan,Unspecified,https://www.keejob.com/offres-emploi/211884/g%C3%A9nie-industriel/,211884,25 novembre 2024,,"Bir Mcherga, Zaghouan, Tunisie",Entre 2 et 5 ans,Bac + 5,Plein temps,"Arabe , Français , Anglais",,Locale
Community Manager,ECOWEBY,Tunis,"CDI, ,, SIVP",https://www.keejob.com/offres-emploi/211916/community-manager/,211916,25 novembre 2024,"CDI, ,, SIVP","Centre ville, Tunis, Tunisie",Entre 1 et 2 ans,Bac + 3,Plein temps,Français,,
Aide magasinier,IB EQUIPMENT AND ELECTRIC,Ariana,SIVP,https://www.keejob.com/offres-emploi/211846/aide-magasinier/,211846,25 novembre 2024,SIVP,"Ariana, Tunisie",Aucune expérience,Formations professionnelles,Plein temps,"Arabe , Français",400 - DT / Mois,
Ingénieur Qualité Système,,Ben Arous,"CDI, ,, CDD",https://www.keejob.com/offres-emploi/211157/ing%C3%A9nieur-qualit%C3%A9-syst%C3%A8me/,211157,25 novembre 2024,"CDI, ,, CDD","Ben Arous, Ben Arous, Tunisie",Entre 5 et 10 ans,Bac + 5,Plein temps,"Arabe , Français , Anglais",,Locale
Télévendeurs Energie et Telco,ACTIVE CONTACT,Tunis,"CDI, ,, SIVP",https://www.keejob.com/offres-emploi/211889/t%C3%A9l%C3%A9vendeurs-energie-et-telco/,211889,25 novembre 2024,"CDI, ,, SIVP","Centre ville, Tunis, Tunisie",Moins d'un an,Bac,Plein temps,Français,1000 - 2000 DT / Mois,
Agent de télésurveillance,,Tunis,"CDI, ,, CDD",https://www.keejob.com/offres-emploi/211849/agent-de-t%C3%A9l%C3%A9surveillance/,211849,25 novembre 2024,"CDI, ,, CDD","Tunis, Tunisie",Entre 2 et 5 ans,Bac + 2,Plein temps,"Arabe , Français",800 - 900 DT / Mois,
Chef de production,IMMOBILIÈRE GLOULOU,Sousse,CDD,https://www.keejob.com/offres-emploi/211926/chef-de-production/,211926,25 novembre 2024,CDD,"Msaken, Sousse, Tunisie",Entre 2 et 5 ans,Bac + 5,Plein temps,"Arabe , Français , Anglais",,
Responsable Production spéc Génie Civil,,Zaghouan,CDD,https://www.keejob.com/offres-emploi/211876/responsable-production-sp%C3%A9c-g%C3%A9nie-civil/,211876,25 novembre 2024,CDD,"Bir Mcherga, Zaghouan, Tunisie",Entre 5 et 10 ans,Bac + 3,Plein temps,"Arabe , Français",1400 - 2000 DT / Mois,
Responsable commercial,ARCHIGLASS,Ariana,"CDI, ,, CDD, ,, SIVP, ,, Indépendant/Freelance",https://www.keejob.com/offres-emploi/211883/responsable-commercial/,211883,25 novembre 2024,"CDI, ,, CDD, ,, SIVP, ,, Indépendant/Freelance","Raoued, Ariana, Tunisie",Entre 2 et 5 ans,Bac + 4,Plein temps,,1000 - DT / Mois,Locale
CHEF DE PARC,,Tunis,"CDI, ,, CDD",https://www.keejob.com/offres-emploi/211927/chef-de-parc/,211927,25 novembre 2024,"CDI, ,, CDD","Tunis, Tunisie",Entre 2 et 5 ans,Bac + 3,Plein temps,"Arabe , Français",,Locale
Assistante import export,,La Manouba,"CDI, ,, CDD",https://www.keejob.com/offres-emploi/211913/assistante-import-export/,211913,25 novembre 2024,"CDI, ,, CDD","Oued Ellil, La Manouba, Tunisie",Entre 5 et 10 ans,Bac + 3,Plein temps,"Arabe , Français , Anglais",1000 - 1500 DT / Mois,"Locale, International"
CEO Assistant & Business Coordinator,,Tunis,"CDD, ,, SIVP",https://www.keejob.com/offres-emploi/211877/ceo-assistant-business-coordinator/,211877,25 novembre 2024,"CDD, ,, SIVP","Tunis, Tunisie",Entre 1 et 2 ans,Bac + 3,Plein temps,"Arabe , Français , Anglais",1 - DT / Mois,
Resp. Commercial - Circuit Professionnel,,Tunis,"CDI, ,, CDD",https://www.keejob.com/offres-emploi/211898/resp-commercial-circuit-professionnel/,211898,25 novembre 2024,"CDI, ,, CDD","Tunis, Tunisie",Entre 2 et 5 ans,Formations professionnelles,Plein temps,"Arabe , Français",1 - 2 DT / Mois,Locale
FINANCIER JUNIOR,,Tunis,"CDI, ,, CDD",https://www.keejob.com/offres-emploi/211154/financier-junior/,211154,25 novembre 2024,"CDI, ,, CDD","Tunis, Tunisie",Entre 2 et 5 ans,Bac + 3,Plein temps,"Arabe , Français , Anglais",1000 - 1500 DT / Mois,Locale
Un cadre financier,,Tunis,"CDI, ,, CDD",https://www.keejob.com/offres-emploi/211854/un-cadre-financier/,211854,25 novembre 2024,"CDI, ,, CDD","Tunis, Tunisie",Entre 5 et 10 ans,Bac + 3,Plein temps,"Arabe , Français , Anglais",1000 - 1500 DT / Mois,Locale
Chargé (e) Recrutement,ACTIVE CONTACT,Tunis,CDI,https://www.keejob.com/offres-emploi/211891/charg%C3%A9-e-recrutement/,211891,25 novembre 2024,CDI,"Centre ville, Tunis, Tunisie",Entre 1 et 2 ans,Bac + 3,Plein temps,Français,1000 - 1500 DT / Mois,
Technicien production Agroalimentaire,,Ben Arous,CDD,https://www.keejob.com/offres-emploi/211162/technicien-production-agroalimentaire/,211162,25 novembre 2024,CDD,"Ben Arous, Ben Arous, Tunisie",Entre 1 et 2 ans,Bac + 3,Plein temps,"Arabe , Français",,
Vendeur/ Caissier Zara Mall of Sousse,TUNTEX,Sousse,Unspecified,https://www.keejob.com/offres-emploi/211923/vendeur-caissier-zara-mall-of-sousse/,211923,25 novembre 2024,,"Sousse, Tunisie",Aucune expérience,Bac,Plein temps,,700 - DT / Mois,
Télésecrétariat médicale,O.NET,Tunis,CDD,https://www.keejob.com/offres-emploi/211375/recrutement-urgent/,211375,25 novembre 2024,CDD,"Bab Bhar, Tunis, Tunisie",Moins d'un an,Bac,Plein temps,Français,1000 - DT / Mois,
Chargé suivi des réalisations invest en expl,POULINA GROUP HOLDING,Ben Arous,CDD,https://www.keejob.com/offres-emploi/211873/charg%C3%A9-suivi-des-r%C3%A9alisations-invest-en-expl/,211873,25 novembre 2024,CDD,"Ezzahra, Ben Arous, Tunisie",Entre 1 et 2 ans,Bac + 3,Plein temps,"Arabe , Français , Anglais",,Locale
"Traducteur, Sousse",VEO WORLDWIDE SERVICES,Sousse,CDI,https://www.keejob.com/offres-emploi/211858/traducteur-sousse/,211858,25 novembre 2024,CDI,"Sousse, Tunisie",Moins d'un an,Bac + 3,Plein temps,"Français , Anglais",,
Assistant Administration et Finance,CRIT,Tunis,Unspecified,https://www.keejob.com/offres-emploi/211872/assistant-administration-et-finance/,211872,25 novembre 2024,,"Tunis, Tunisie",Entre 1 et 2 ans,Bac + 3,Plein temps,,,
Techniciens en électricité,GIGAWATT,Tunis,Unspecified,https://www.keejob.com/offres-emploi/211865/techniciens-en-%C3%A9lectricit%C3%A9/,211865,25 novembre 2024,,"Tunis, Tunisie",Entre 1 et 2 ans,Formations professionnelles,Plein temps,,700 - DT / Mois,Locale
Femme de chambre,VILLA LES PALMES,Tunis,Unspecified,https://www.keejob.com/offres-emploi/211878/femme-de-chambre-m%C3%A9nage/,211878,25 novembre 2024,,"Tunis, Tunisie",Moins d'un an,Secondaire,Plein temps,"Arabe , Français",500 - 600 DT / Mois,
DIRECTEUR ADMINISTRATIF ET FINANCIER,,DAKAR,CDI,https://www.keejob.com/offres-emploi/211155/directeur-administratif-et-financier/,211155,25 novembre 2024,CDI,"DAKAR, Sénégal",Entre 5 et 10 ans,Bac + 4,Plein temps,"Arabe , Français , Anglais",,"Locale, International"
Assistant(e)s Chargé(e)s de Programme,CRIT,Tunis,Intérim,https://www.keejob.com/offres-emploi/211868/assistantes-charg%C3%A9es-de-programme/,211868,25 novembre 2024,Intérim,"Tunis, Tunisie",Entre 1 et 2 ans,Bac + 5,Plein temps,,,
Stagiaire Motion Designer - PFE,GRAINES ENTREPRENEURS TUNISIE,Tunis,"Stage/PFE, ,, Stage",https://www.keejob.com/offres-emploi/211896/stagiaire-motion-designer-pfe/,211896,25 novembre 2024,"Stage/PFE, ,, Stage","La Marsa, Tunis, Tunisie",Aucune expérience,Formations professionnelles,Plein temps,"Arabe , Français",,
Community Manager (H/F),HR HOUSE INTERNATIONAL,Tunis,CDI,https://www.keejob.com/offres-emploi/211915/community-manager-hf/,211915,25 novembre 2024,CDI,"Tunis, Tunisie",Entre 2 et 5 ans,Bac + 3,Plein temps,"Arabe , Français , Anglais",,
SUPERVISEUR HSE,,Tunis,"CDI, ,, CDD",https://www.keejob.com/offres-emploi/211853/superviseur-hse/,211853,25 novembre 2024,"CDI, ,, CDD","Tunis, Tunisie",Entre 2 et 5 ans,Bac + 3,Plein temps,"Arabe , Français , Anglais",1000 - 1400 DT / Mois,Locale
Ingénieur Agroalimentaire,,Ben Arous,CDI,https://www.keejob.com/offres-emploi/211161/ing%C3%A9nieur-agroalimentaire/,211161,25 novembre 2024,CDI,"Fouchana, Ben Arous, Tunisie",Entre 1 et 2 ans,Bac + 5,Plein temps,"Arabe , Français , Anglais",,
AUDITEUR INTERNE,,Tunis,CDI,https://www.keejob.com/offres-emploi/211156/auditeur-interne/,211156,25 novembre 2024,CDI,"Tunis, Tunisie",Entre 5 et 10 ans,Bac + 4,Plein temps,"Arabe , Français , Anglais",1800 - 2500 DT / Mois,"Locale, International"
CONSEILLERS COMMERCIAUX TELCO,MEZZO,Tunis,"CDI, ,, SIVP",https://www.keejob.com/offres-emploi/211864/conseillers-commerciaux-telco/,211864,25 novembre 2024,"CDI, ,, SIVP","Centre ville, Tunis, Tunisie",Moins d'un an,Bac,Plein temps,Français,1200 - 1400 DT / Mois,
Commercial(e) tenus de travail,YAM CONFECTION,La Manouba,CDI,https://www.keejob.com/offres-emploi/211874/commerciale-tenus-de-travail/,211874,25 novembre 2024,CDI,"Mannouba, La Manouba, Tunisie",Entre 2 et 5 ans,Bac + 3,Plein temps,"Arabe , Français",1000 - 2000 DT / Mois,Locale
Conseillers commerciaux-Energie,MEZZO,Tunis,"CDI, ,, SIVP",https://www.keejob.com/offres-emploi/211907/conseillers-commerciaux-energie/,211907,25 novembre 2024,"CDI, ,, SIVP","Tunis, Tunisie",Moins d'un an,Bac,Plein temps,Français,1200 - 1400 DT / Mois,
Téléconseillers en Réception d'appel (H/F) |,METOS,Ariana,CDI,https://www.keejob.com/offres-emploi/211912/t%C3%A9l%C3%A9conseillers-en-r%C3%A9ception-dappel-hf/,211912,25 novembre 2024,CDI,"Ariana, Tunisie",Entre 1 et 2 ans,Bac,Plein temps,"Arabe , Français",,
Agent de transit,,Tunis,CDD,https://www.keejob.com/offres-emploi/211851/agent-de-transit/,211851,25 novembre 2024,CDD,"Tunis, Tunisie",Entre 2 et 5 ans,Bac + 3,Plein temps,"Arabe , Français",900 - 1200 DT / Mois,Locale
Technicien régleur Press,BULGIN TUNISIE,Tunis,"CDI, ,, CDD",https://www.keejob.com/offres-emploi/211911/technicien-r%C3%A9gleur-press/,211911,25 novembre 2024,"CDI, ,, CDD","Tunis, Tunisie",Entre 2 et 5 ans,Bac + 3,Plein temps,"Arabe , Français , Anglais",,
Agent de Réservation,,Tunis,"CDI, ,, CDD, ,, SIVP, ,, Indépendant/Freelance",https://www.keejob.com/offres-emploi/211867/agent-de-r%C3%A9servation-agent-de-voyage/,211867,25 novembre 2024,"CDI, ,, CDD, ,, SIVP, ,, Indépendant/Freelance","Tunis, Tunisie",Entre 1 et 2 ans,Formations professionnelles,Plein temps,"Arabe , Français , Anglais",,"Locale, International"
"Assistant(e) Achats, Sousse",VEO WORLDWIDE SERVICES,Sousse,CDI,https://www.keejob.com/offres-emploi/211862/assistante-achats-sousse/,211862,25 novembre 2024,CDI,"Sousse Riadh, Sousse, Tunisie",Entre 1 et 2 ans,Bac + 3,Plein temps,Français,1 - DT / Mois,International
AGENT FACTURATION,,Tunis,"CDD, ,, SIVP",https://www.keejob.com/offres-emploi/211855/agent-facturation/,211855,25 novembre 2024,"CDD, ,, SIVP","Tunis, Tunisie",Entre 1 et 2 ans,Bac,Plein temps,"Arabe , Français",700 - 800 DT / Mois,
Secrétaire Directeur,,Tunis,"CDI, ,, CDD, ,, SIVP",https://www.keejob.com/offres-emploi/211875/secr%C3%A9taire-directeur-dagence-de-voyage/,211875,25 novembre 2024,"CDI, ,, CDD, ,, SIVP","Tunis, Tunisie",Entre 1 et 2 ans,Formations professionnelles,Plein temps,"Arabe , Français , Anglais",,Locale
Technicien Support Informatique Niv 1 et 2,ECOWEBY,Tunis,"CDI, ,, CDD, ,, SIVP",https://www.keejob.com/offres-emploi/211919/technicien-support-informatique-niv-1-et-2/,211919,25 novembre 2024,"CDI, ,, CDD, ,, SIVP","Centre ville, Tunis, Tunisie",Entre 1 et 2 ans,Bac + 3,Plein temps,Français,10 - DT / Mois,
Chef de poste sécurité,ULC LOGISTICS,Ben Arous,"CDD, ,, SIVP",https://www.keejob.com/offres-emploi/211910/chef-de-poste-s%C3%A9curit%C3%A9/,211910,25 novembre 2024,"CDD, ,, SIVP","Mornag, Ben Arous, Tunisie",Entre 1 et 2 ans,Bac + 2,Plein temps,"Arabe , Français , Anglais",,
ASSISTANTE MARKETING,,Tunis,"CDD, ,, SIVP",https://www.keejob.com/offres-emploi/211857/assistante-marketing/,211857,25 novembre 2024,"CDD, ,, SIVP","Tunis, Tunisie",Entre 1 et 2 ans,Bac + 3,Plein temps,"Arabe , Français",800 - 1000 DT / Mois,
Ingénieur Agronome en Arboriculture,,Kairouan,"CDI, ,, CDD",https://www.keejob.com/offres-emploi/211847/ing%C3%A9nieur-agronome-en-arboriculture/,211847,25 novembre 2024,"CDI, ,, CDD","Chebika, Kairouan, Tunisie",Aucune expérience,Bac + 5,Plein temps,"Arabe , Français , Anglais",,Locale
Livreurs,GROUPE JUDY,Nabeul,CDD,https://www.keejob.com/offres-emploi/211901/livreurs/,211901,25 novembre 2024,CDD,"Dar Chaabane Elfehri, Nabeul, Tunisie",Entre 2 et 5 ans,Bac,Plein temps,"Arabe , Français",1 - 2 DT / Mois,Locale
Chargée recrutement et gestion administrative,PROTECT + TUNISIE,Ariana,"CDI, ,, SIVP",https://www.keejob.com/offres-emploi/211888/charg%C3%A9e-recrutement-et-gestion-administrative/,211888,25 novembre 2024,"CDI, ,, SIVP","Ariana Ville, Ariana, Tunisie",Entre 2 et 5 ans,Bac + 3,Plein temps,Français,1400 - 1500 DT / Mois,
Télévendeurs,INOVARC,Tunis,"CDI, ,, SIVP",https://www.keejob.com/offres-emploi/211861/t%C3%A9l%C3%A9vendeurs/,211861,25 novembre 2024,"CDI, ,, SIVP","Centre ville, Tunis, Tunisie",Entre 1 et 2 ans,Bac + 3,Plein temps,Français,1300 - DT / Mois,
Comptable,,Tunis,"CDD, ,, SIVP",https://www.keejob.com/offres-emploi/211791/comptables-auditeurs/,211791,25 novembre 2024,"CDD, ,, SIVP","Tunis, Tunisie",Moins d'un an,Bac + 3,Plein temps,"Arabe , Français , Anglais",800 - 1000 DT / Mois,Locale
Responsable de la Gestion de Projets (PMO),OZEOL.,Sousse,CDI,https://www.keejob.com/offres-emploi/211870/responsable-de-la-gestion-de-projets-pmo/,211870,25 novembre 2024,CDI,"Sousse Jaouhara, Sousse, Tunisie",Entre 5 et 10 ans,Bac + 5,Plein temps,,2 - 4 DT / Mois,"Locale, International"
Agent immobilier,AGENCE IMMOBILIERE LA CARRE 9,Tunis,CDD,https://www.keejob.com/offres-emploi/211810/agent-immobilier/,211810,24 novembre 2024,CDD,"La Marsa, Tunis, Tunisie",Moins d'un an,Formations professionnelles,Plein temps,"Arabe , Français",700 - 1000 DT / Mois,
coordinatrice,AGENCE IMMOBILIERE LA CARRE 9,Tunis,CDI,https://www.keejob.com/offres-emploi/211811/coordinatrice/,211811,24 novembre 2024,CDI,"La Marsa, Tunis, Tunisie",Entre 1 et 2 ans,Bac + 2,Plein temps,"Arabe , Français , Anglais",700 - 1000 DT / Mois,
Agent de transit,,Ben Arous,"CDI, ,, CDD, ,, SIVP",https://www.keejob.com/offres-emploi/211834/agent-de-transit/,211834,24 novembre 2024,"CDI, ,, CDD, ,, SIVP","Nouvelle Medina, Ben Arous, Tunisie",Moins d'un an,Formations professionnelles,Plein temps,"Arabe , Français , Anglais",350 - 600 DT / Mois,
Financier du Groupe,,Tunis,"CDI, ,, CDD",https://www.keejob.com/offres-emploi/211843/financier-du-groupe/,211843,24 novembre 2024,"CDI, ,, CDD","Tunis, Tunisie",Aucune expérience,Bac + 5,Plein temps,"Arabe , Français , Anglais",,Locale
Contrôleur de Gestion Junior,,Ben Arous,"CDI, ,, CDD",https://www.keejob.com/offres-emploi/211844/contr%C3%B4leur-de-gestion-junior/,211844,24 novembre 2024,"CDI, ,, CDD","Fouchana, Ben Arous, Tunisie",Aucune expérience,Bac + 4,Plein temps,"Arabe , Français , Anglais",,Locale
Auditeur interne Bir Mchergua Zaghouan,MED OIL CAMPANY,Zaghouan,Unspecified,https://www.keejob.com/offres-emploi/211821/auditeur-interne-bir-mchergua-zaghouan/,211821,24 novembre 2024,,"Bir Mcherga, Zaghouan, Tunisie",Entre 2 et 5 ans,Bac + 5,Plein temps,,,Locale
Responsable Marketing Digital,FLORALIES,Tunis,"CDI, ,, CDD",https://www.keejob.com/offres-emploi/211831/responsable-marketing-digital/,211831,24 novembre 2024,"CDI, ,, CDD","Tunis, Tunisie",Entre 2 et 5 ans,Bac + 5,Plein temps,,,
Digital marketing,EVOLUTION VOYAGES,Nabeul,"CDI, ,, CDD, ,, SIVP",https://www.keejob.com/offres-emploi/211842/digital-marketing/,211842,24 novembre 2024,"CDI, ,, CDD, ,, SIVP","Dar Chaabane Elfehri, Nabeul, Tunisie",Entre 1 et 2 ans,Bac + 3,Plein temps,"Arabe , Français , Anglais , Russe , Chinois , Japonais",700 - 1500 DT / Mois,
un(e) assistant(e) de direction,JD WEB SOLUTION,Ariana,SIVP,https://www.keejob.com/offres-emploi/211845/une-assistante-de-direction/,211845,24 novembre 2024,SIVP,"La Soukra, Ariana, Tunisie",Aucune expérience,Bac,Plein temps,"Arabe , Français",400 - 600 DT / Mois,
ADMINISTRATEUR DES VENTES,,Tunis,"CDD, ,, SIVP",https://www.keejob.com/offres-emploi/211856/administrateur-des-ventes/,211856,25 novembre 2024,"CDD, ,, SIVP","Tunis, Tunisie",Entre 2 et 5 ans,Bac + 3,Plein temps,"Arabe , Français , Anglais",1000 - 1200 DT / Mois,Locale
01 INGÉNIEUR CHEF ATELIER ELECTRIQUE,,La Manouba,CDI,https://www.keejob.com/offres-emploi/211817/01-ing%C3%A9nieur-chef-atelier-electrique/,211817,24 novembre 2024,CDI,"Mornaguia, La Manouba, Tunisie",Entre 1 et 2 ans,Bac + 5,Plein temps,"Arabe , Français , Anglais",,
Contrôleur de gestion,,Tunis,"CDI, ,, CDD",https://www.keejob.com/offres-emploi/211840/contr%C3%B4leur-de-gestion/,211840,24 novembre 2024,"CDI, ,, CDD","Tunis, Tunisie",Entre 5 et 10 ans,Bac + 5,Plein temps,"Arabe , Français , Anglais",,Locale
TECHNICIENS SUP EN GÉNIE MÉCANIQUE (H),,Ben Arous,CDD,https://www.keejob.com/offres-emploi/211818/techniciens-sup-en-g%C3%A9nie-m%C3%A9canique-h/,211818,24 novembre 2024,CDD,"Fouchana, Ben Arous, Tunisie",Moins d'un an,Bac + 3,Plein temps,"Arabe , Français",,
Responsable de la Gestion des Procédures,CENTRA NORD,Bizerte,"CDI, ,, CDD, ,, SIVP",https://www.keejob.com/offres-emploi/211833/responsable-de-la-gestion-des-proc%C3%A9dures/,211833,24 novembre 2024,"CDI, ,, CDD, ,, SIVP","Bizerte Nord, Bizerte, Tunisie",Entre 2 et 5 ans,Bac + 3,Plein temps,,1000 - 1500 DT / Mois,
03 CHAUDIERISTES,,La Manouba,CDD,https://www.keejob.com/offres-emploi/211816/03-chaudieristes/,211816,24 novembre 2024,CDD,"Mornaguia, La Manouba, Tunisie",Entre 1 et 2 ans,Bac + 1,Plein temps,"Arabe , Français",,
Chargés d'Affaires PME - Tunis,BANK ABC,Tunis,CDI,https://www.keejob.com/offres-emploi/207693/charg%C3%A9s-daffaires-pme/,207693,24 novembre 2024,CDI,"Tunis, Tunisie",Entre 2 et 5 ans,Bac + 5,Plein temps,"Arabe , Français , Anglais",,Locale
Chargé Achat Etranger,MED OIL CAMPANY,Zaghouan,Unspecified,https://www.keejob.com/offres-emploi/211822/charg%C3%A9-achat-etranger/,211822,24 novembre 2024,,"Bir Mcherga, Zaghouan, Tunisie",Entre 1 et 2 ans,Bac + 3,Plein temps,"Arabe , Français , Anglais",,Locale
