Job Title,Company Name,Job Description,Study Level,Experience Level,Contract Type,Region,Skills,Posting Date,Job Link
Community Manager / Content Creator - la Marsa,DIGITAURA MARKETING AGENCY,,"Bac+2, Bac+3, Bac+4 & Bac+5 et plus",Débutant < 2 ans et plus,Temps partiel,Tunis,Communication - Community Management - Content Marketing - Design - Marketing - Médias - Rédaction,29.11.2024,https://www.emploitunisie.com/offre-emploi-tunisie/community-manager-content-creator-marsa-197070
 Administrateur de Site  - Tunis Berges Du Lac Ou Montplaisir,CC SERVICES ,,"Bac+3, Bac+4 & Bac+5 et plus","Etudiant, jeune diplômé et plus",CDI,Tunis,ASP - CSS - DREAMWEAVER - HTML - ILLUSTRATOR - JAVASCRIPT - MYSQL - PHOTOSHOP - SQL - WORDPRESS - XML,29.11.2024,https://www.emploitunisie.com/offre-emploi-tunisie/administrateur-site-tunis-berges-lac-montplaisir-197490
Assistante Administrative et Commerciale - Tunis,CC SERVICES ,,"Bac+3, Bac+4 & Bac+5 et plus","Etudiant, jeune diplômé et plus",CDI,Tunis,Assistanat - Assistance - Assistance Administrative - Communication - Communication RH - Community Management - Fiches - Formation - MAILCHIMP - Marketing - Newsletters - POWERPOINT - Rédaction - Secrétariat,29.11.2024,https://www.emploitunisie.com/offre-emploi-tunisie/assistante-administrative-commerciale-tunis-197495
Assistant Commercial  - El Ghazela,SMART CONSEIL,,"Bac+2, Bac+3, Bac+4 & Bac+5 et plus",Débutant < 2 ans et plus,"CDD, Intérim & Stage",Ariana - Ben Arous - Manouba & Tunis,,29.11.2024,https://www.emploitunisie.com/offre-emploi-tunisie/assistant-commercial-el-ghazela-197696
Technicien de Production - la Marsa,HEISENBERG LABORATORY,,"Bac+2, Bac+3, Bac+4 & Bac+5 et plus",Débutant < 2 ans et plus,CDD,Ariana & Tunis,BTP,29.11.2024,https://www.emploitunisie.com/offre-emploi-tunisie/technicien-production-marsa-198373
Téléacteur - Nabeul,NEOPOLIS,,"Bac+2, Bac+3, Bac+4 & Bac+5 et plus",Expérience entre 2 ans et 5 ans et plus,CDI,Nabeul & International,Prise de RDV - Téléprospection,29.11.2024,https://www.emploitunisie.com/offre-emploi-tunisie/teleacteur-nabeul-198542
Commercial Sédentaire - Nabeul,NEOPOLIS,,"Bac+2, Bac+3, Bac+4 & Bac+5 et plus",Expérience entre 2 ans et 5 ans et plus,CDI,Nabeul & International,Conseil - Prospection - Prospection Commerciale - Télémarketing - Télévente - Vente,29.11.2024,https://www.emploitunisie.com/offre-emploi-tunisie/commercial-sedentaire-nabeul-198543
"Chargé(e) de Recrutement et de Formation​ - Technopôle El Gazala, Ariana, Tunisie",SMART CONSEIL,,Bac+3,Débutant < 2 ans,CDI & CDD,Ariana,,29.11.2024,https://www.emploitunisie.com/offre-emploi-tunisie/chargee-recrutement-formation-technopole-el-gazala-ariana-tunisie-199046
Secrétaire Médical  - Tunis,CABINET DE DERMATOLOGIE KACHOUKH Meriem,,"Qualification avant bac, Bac, Bac+1, Bac+2, Bac+3, Bac+4 & Bac+5 et plus","Etudiant, jeune diplômé et plus",CDI,Ariana & Tunis,,29.11.2024,https://www.emploitunisie.com/offre-emploi-tunisie/secretaire-medical-tunis-200374
Formateur(trice) Formalités Douanières - Sousse,OSCAR FORMATION,,Bac+5 et plus,Expérience entre 5 ans et 10 ans - Expérience > 10 ans,Temps partiel,Ariana - Béja - Ben Arous - Bizerte - Gabès - Gafsa - Jendouba,,29.11.2024,https://www.emploitunisie.com/offre-emploi-tunisie/formateurtrice-formalites-douanieres-sousse-201036
Test Engineer - Ariana,E-SKILLS,,Bac+5 et plus,Expérience entre 2 ans et 5 ans et plus,CDI & CDD,Ariana,,29.11.2024,https://www.emploitunisie.com/offre-emploi-tunisie/test-engineer-ariana-204416
