Job Title,Company Name,Job Description,Study Level,Experience Level,Contract Type,Region,Skills,Posting Date,Job Link
Mechanical Engineer For Mobile Robotics - Sousse,ENOVA ROBOTICS,,Bac+5 et plus,Expérience entre 2 ans et 5 ans,CDI,Sousse,SOLIDWORKS,29.11.2024,https://www.emploitunisie.com/offre-emploi-tunisie/mechanical-engineer-for-mobile-robotics-sousse-213371
Assistante Dentaire  - Tunis,CABINET ORTHODONTIE CHELLI ,,"Qualification avant bac, Bac, Bac+1 & Bac+2","Etudiant, jeune diplômé et plus",CDI & CDD,Tunis,Assistanat - Communication - Dossiers - Gestion Administrative - Gestion des Dossiers - Marketing,29.11.2024,https://www.emploitunisie.com/offre-emploi-tunisie/assistante-dentaire-tunis-213442
Chef de Projet - Daloa,UNISERV BTP,,Bac+5 et plus,Expérience entre 5 ans et 10 ans & Expérience > 10 ans,CDI & CDD,International,AUTOCAD - PRIMAVERA,29.11.2024,https://www.emploitunisie.com/offre-emploi-tunisie/chef-projet-daloa-213581
Conseiller(e) Client - Tunis,CALL ME,,"Qualification avant bac, Bac, Bac+1, Bac+2, Bac+3, Bac+4 & Bac+5 et plus","Etudiant, jeune diplômé et plus","CDI, CDD & Temps partiel",Ariana & Tunis,Communication - Marketing - Télémarketing,29.11.2024,https://www.emploitunisie.com/offre-emploi-tunisie/conseillere-client-tunis-213828
Traffic Manager - Ariana,PI 2R,,"Bac+3, Bac+4 & Bac+5 et plus",Expérience entre 2 ans et 5 ans et plus,CDI,Ariana,Facebook Ads - Marketing - Marketing Digital - Publicité,29.11.2024,https://www.emploitunisie.com/offre-emploi-tunisie/traffic-manager-ariana-213920
Téléopérateurs en Prise de Rendez-Vous H/F - La Marsa,@LYSSE,,"Qualification avant bac, Bac, Bac+1, Bac+2, Bac+3, Bac+4 & Bac+5 et plus","Etudiant, jeune diplômé et plus",CDI,Tunis,Communication - Entretien - Marketing - Télémarketing,29.11.2024,https://www.emploitunisie.com/offre-emploi-tunisie/teleoperateurs-prise-rendez-vous-hf-marsa-214174
Téléconseillers en Prise de RDV - Tunis,LNR FINANCE,,"Qualification avant bac, Bac, Bac+1, Bac+2, Bac+3, Bac+4 & Bac+5 et plus",Débutant < 2 ans et plus,CDI,Ariana - Ben Arous & Tunis,Prise de RDV - Vente,29.11.2024,https://www.emploitunisie.com/offre-emploi-tunisie/teleconseillers-prise-rdv-tunis-214472
Technico-Commerciale - Ben Arous,WMTS,,Bac+2,Débutant < 2 ans & Expérience entre 2 ans et 5 ans,CDD,Ben Arous,Douane - Négociation - Prospection - Transit - Transport - Transport Maritime - Vente,29.11.2024,https://www.emploitunisie.com/offre-emploi-tunisie/technico-commerciale-ben-arous-214616
Expert en Référencement (H/F) - Tunis Lac 1 ,CC SERVICES ,,Bac+4 & Bac+5 et plus,Expérience entre 2 ans et 5 ans et plus,CDI,Tunis,CMS - Communication - CSS - HTML - JAVASCRIPT - Positionnement - PRESTASHOP - Référencement SEO - SEA - SEO - WORDPRESS,29.11.2024,https://www.emploitunisie.com/offre-emploi-tunisie/expert-referencement-hf-tunis-lac-1-214654
"Ingénieur VoIP, Asterisk , Vicidial  - Télétravail",DH ENERGIE,,"Qualification avant bac, Bac, Bac+1, Bac+2, Bac+3, Bac+4 & Bac+5 et plus",Expérience entre 2 ans et 5 ans et plus,CDI & CDD,International,ASTERISK - RTP - VOIP,29.11.2024,https://www.emploitunisie.com/offre-emploi-tunisie/ingenieur-voip-asterisk-vicidial-teletravail-214842
Téléopérateurs - Sfax,LINKIFY ,,"Qualification avant bac, Bac, Bac+1, Bac+2, Bac+3, Bac+4 & Bac+5 et plus",Expérience entre 2 ans et 5 ans et plus,Freelance,Sfax,Gestion des Commandes - Rétention des Clients - Téléprospection - Vente,29.11.2024,https://www.emploitunisie.com/offre-emploi-tunisie/teleoperateurs-sfax-214848
Agent Back Office Service Maritime - Les Berges Du Lac,EXPRESS WORLD,,"Bac+2, Bac+3, Bac+4 & Bac+5 et plus",Expérience entre 2 ans et 5 ans et plus,CDI,Tunis,Vente,29.11.2024,https://www.emploitunisie.com/offre-emploi-tunisie/agent-back-office-service-maritime-berges-lac-214938
Téléopérateur/trice Médical en Réception D’Appels  - Sousse,ALTRACALL,,"Bac, Bac+1, Bac+2, Bac+3, Bac+4 & Bac+5 et plus",Débutant < 2 ans et plus,CDI,Sousse,,29.11.2024,https://www.emploitunisie.com/offre-emploi-tunisie/teleoperateurtrice-medical-reception-appels-sousse-214949
Visiteur Pharmaceutique Parapharmaceutiques - Grand Tunis,GROUPE M&M SANTE - MATERNA,,Bac+1,Débutant < 2 ans,CDI & CDD,Tunis,Vente,29.11.2024,https://www.emploitunisie.com/offre-emploi-tunisie/visiteur-pharmaceutique-parapharmaceutiques-grand-tunis-214950
Technico-Commercial - Sousse,ENOVA ROBOTICS,,"Bac+2, Bac+3, Bac+4 & Bac+5 et plus",Débutant < 2 ans et plus,CDI,Sousse,Commercialisation - Négociation - Prospection - Vente,29.11.2024,https://www.emploitunisie.com/offre-emploi-tunisie/technico-commercial-sousse-215101
Téléopérateur/trice Médical en Réception D’Appels - Sousse,ALTRACALL,,"Bac, Bac+1, Bac+2, Bac+3, Bac+4 & Bac+5 et plus",Débutant < 2 ans et plus,CDI,Sousse,,29.11.2024,https://www.emploitunisie.com/offre-emploi-tunisie/teleoperateurtrice-medical-reception-appels-sousse-215500
Responsable Ressources Humaines - Nabeul,STE CALE CHAUSSURES,,"Bac+3, Bac+4 & Bac+5 et plus",Débutant < 2 ans et plus,CDI & CDD,Nabeul,Administration du Personnel - Comptabilité - Finance - Gestion - Gestion des Ressources Humaines - Processus de Recrutement - Recrutement,29.11.2024,https://www.emploitunisie.com/offre-emploi-tunisie/responsable-ressources-humaines-nabeul-215526
 Technicien Computer Numerical Control  - Sousse,METAL PRECISION,,"Qualification avant bac, Bac, Bac+1, Bac+2, Bac+3, Bac+4 & Bac+5 et plus",Débutant < 2 ans et plus,CDD,Sousse,Fraisage - Machines - Maintenance - Processus - Qualité,29.11.2024,https://www.emploitunisie.com/offre-emploi-tunisie/technicien-computer-numerical-control-sousse-215538
Réceptionnaire Agence Renault  - Ezzahra,SAVES - AGENCE OFFICIELLE RENAULT,,"Bac+2, Bac+3, Bac+4 & Bac+5 et plus",Expérience entre 2 ans et 5 ans et plus,CDI,Ben Arous,Devis - Vente,29.11.2024,https://www.emploitunisie.com/offre-emploi-tunisie/receptionnaire-agence-renault-ezzahra-215919
Superviseur de Production - Sidi El Heni,STIT,,"Bac+3, Bac+4 & Bac+5 et plus",Débutant < 2 ans et plus,CDI & CDD,Sousse,Amélioration Continue - Fabrication - Machines - Maintenance - Processus - Production - Productivité - Qualité,29.11.2024,https://www.emploitunisie.com/offre-emploi-tunisie/superviseur-production-sidi-el-heni-216038
Commercial en Télétravail (Freelance) - France,SOCIÉTÉ DE PRESSE FRANÇAISE,,Bac+2,Expérience entre 2 ans et 5 ans,Freelance,International,Vente,29.11.2024,https://www.emploitunisie.com/offre-emploi-tunisie/commercial-teletravail-freelance-france-216051
Responsable Maintenance Industrielle - Gaafour,TUNIPA  S.A,,Bac+4 & Bac+5 et plus,Débutant < 2 ans et plus,CDI & CDD,Siliana,Amélioration Continue - Fabrication - Machines - Maintenance - Maintenance Industrielle - Maintenance Prédictive - Maintenance Préventive - Production - Qualité,29.11.2024,https://www.emploitunisie.com/offre-emploi-tunisie/responsable-maintenance-industrielle-gaafour-216078
Agent Commercial  - Borj Cedria,ELLOUZI IMMOBILIÈRE,,Qualification avant bac,"Etudiant, jeune diplômé & Débutant < 2 ans","CDI, CDD, Intérim & Stage",Ben Arous & Nabeul,Vente,29.11.2024,https://www.emploitunisie.com/offre-emploi-tunisie/agent-commercial-borj-cedria-216144
Conseiller(e) de Vente - Sousse,Z PETS,,"Qualification avant bac, Bac, Bac+1, Bac+2, Bac+3, Bac+4 & Bac+5 et plus","Etudiant, jeune diplômé et plus",CDD,Sousse,Communication - Vente,29.11.2024,https://www.emploitunisie.com/offre-emploi-tunisie/conseillere-vente-sousse-216441
Stagiaire en Marketing et Marketing Digital - Mégrine,EDAYETNA,,"Bac+2, Bac+3, Bac+4 - Bac+5 et plus","Etudiant, jeune diplômé - Débutant < 2 ans","CDD, Stage - Temps partiel",Ariana - Ben Arous - Bizerte - Mahdia - Monastir - Nabeul - Sfax,Communication - Community Management - Digital Marketing - E-Mailing - Graphisme - Marketing - Marketing Digital - Newsletters - PHOTOSHOP - Prospection - Rédaction - SEA - SEO - Vente,29.11.2024,https://www.emploitunisie.com/offre-emploi-tunisie/stagiaire-marketing-marketing-digital-megrine-216499
Téléconseillers (H/F) en Assurance Maladie - Nabeul,ANC,,"Bac+1, Bac+2, Bac+3, Bac+4 & Bac+5 et plus",Expérience entre 2 ans et 5 ans et plus,CDI,Nabeul,Communication Téléphonique - Prospection - Télémarketing - Télévente - Vente,29.11.2024,https://www.emploitunisie.com/offre-emploi-tunisie/teleconseillers-hf-assurance-maladie-nabeul-216660
Contrôleur Qualité-Habillement - Sahline -Monastir,CAPTUNIS,,"Qualification avant bac, Bac, Bac+1, Bac+2, Bac+3 & Bac+4",Expérience entre 5 ans et 10 ans & Expérience > 10 ans,CDI & CDD,Mahdia - Monastir & Sousse,GPAO - Maintenance - Production - Qualité,29.11.2024,https://www.emploitunisie.com/offre-emploi-tunisie/controleur-qualite-habillement-sahline-monastir-216697
Conducteur de Machine - 5 Impasse de L´UMA la Soukra Ariana,SOTEFI,,Bac+2,Débutant < 2 ans,CDD,Ariana - Ben Arous - Manouba & Tunis,Électromécanique - Maintenance - Production - Productivité - Qualité,29.11.2024,https://www.emploitunisie.com/offre-emploi-tunisie/conducteur-machine-5-impasse-uma-soukra-ariana-216724
Commerciaux Francophones et Anglophones  - Sfax,FOODOMARKET,,"Bac, Bac+1, Bac+2, Bac+3, Bac+4 & Bac+5 et plus",Débutant < 2 ans et plus,CDD,Sfax & International,Négociation - Vente,29.11.2024,https://www.emploitunisie.com/offre-emploi-tunisie/commerciaux-francophones-anglophones-sfax-216884
Responsable Commerciale  - Tunis,PROFSUP,,"Bac, Bac+1, Bac+2, Bac+3, Bac+4 & Bac+5 et plus",Expérience entre 2 ans et 5 ans et plus,CDI,Ariana - Ben Arous & Tunis,Assistanat - Communication - Devis - Marketing - Rédaction - Secrétariat - Vente,29.11.2024,https://www.emploitunisie.com/offre-emploi-tunisie/responsable-commerciale-tunis-217046
Office Receptionist - Tunis,GARAGE MÉCANIQUE,,"Qualification avant bac, Bac, Bac+1, Bac+2, Bac+3, Bac+4 & Bac+5 et plus",Expérience entre 2 ans et 5 ans et plus,CDD,Ariana,,29.11.2024,https://www.emploitunisie.com/offre-emploi-tunisie/office-receptionist-tunis-217177
Architecte d´Intérieur Junior - La Marsa,CREATIVE SOLUTIONS,,"Bac+3, Bac+4 & Bac+5 et plus",Débutant < 2 ans,CDI & Freelance,Tunis,3D 2D - Aménagement - Architecture d'Intérieur - Décoration,29.11.2024,https://www.emploitunisie.com/offre-emploi-tunisie/architecte-interieur-junior-marsa-217253
Téléconseillers  - Tunis,PREVYOUCALL,,"Bac, Bac+1, Bac+2, Bac+3, Bac+4 & Bac+5 et plus",Débutant < 2 ans et plus,CDI & CDD,Tunis,,29.11.2024,https://www.emploitunisie.com/offre-emploi-tunisie/teleconseillers-tunis-217311
IT Support Helpdesk  - Sousse,ALTRACALL,,"Bac, Bac+1, Bac+2, Bac+3, Bac+4 & Bac+5 et plus",Expérience entre 2 ans et 5 ans et plus,CDI,Sousse,DHCP - TCP IP,29.11.2024,https://www.emploitunisie.com/offre-emploi-tunisie/it-support-helpdesk-sousse-217320
Télésecrétaire - Anderlecht ,DESWORK,,"Qualification avant bac, Bac, Bac+1, Bac+2, Bac+3, Bac+4 & Bac+5 et plus","Etudiant, jeune diplômé et plus","CDI, Freelance & Temps partiel",International,Accueil - Accueil Physique - Assistanat - Bureautique - Formation - Gestion du Courrier - Imagerie Médicale - Saisie de Données - Secrétariat - Secrétariat Bureautique,29.11.2024,https://www.emploitunisie.com/offre-emploi-tunisie/telesecretaire-anderlecht-217341
Team Leader - Tunis,THE BEE COMPANY,,Bac+3,Expérience entre 2 ans et 5 ans,CDI & Temps partiel,Tunis,Coaching - Communication - Gestion - Leadership - Management - Marketing - Télévente - Vente,29.11.2024,https://www.emploitunisie.com/offre-emploi-tunisie/team-leader-tunis-217349
Ingénieur Motoriste - Tunis,ENNOPULSE,,Bac+5 et plus,"Etudiant, jeune diplômé & Débutant < 2 ans","CDI, CDD & Freelance",Tunis & International,MATLAB - SIMULINK,29.11.2024,https://www.emploitunisie.com/offre-emploi-tunisie/ingenieur-motoriste-tunis-217381
Technicien Supérieur en Bâtiment  - Hammamet,ESC SERVICES ET CONSEIL,,"Bac+2, Bac+3, Bac+4 & Bac+5 et plus",Expérience entre 2 ans et 5 ans et plus,CDI,Nabeul,Appel d'Offres - AUTOCAD - Calcul Métré - Métrés Quantitatifs - Organisation Administrative - Pack Office - Plan Métré,29.11.2024,https://www.emploitunisie.com/offre-emploi-tunisie/technicien-superieur-batiment-hammamet-217427
Développeur & Webmaster en Sous-Traitance  - Annecy,WORLD WILD WEB,,Bac,Expérience entre 2 ans et 5 ans et plus,Freelance,International,CMS - CSS - HTML - JAVASCRIPT - WORDPRESS,29.11.2024,https://www.emploitunisie.com/offre-emploi-tunisie/developpeur-webmaster-sous-traitance-annecy-217524
Docteur Data Science ou en Informatique - Ariana,SMART CONSEIL,,Bac+5 et plus,Débutant < 2 ans,CDD,Ariana,AGILE - BIG DATA - KERAS - NOSQL - PYTHON - SQL - TENSORFLOW,29.11.2024,https://www.emploitunisie.com/offre-emploi-tunisie/docteur-data-science-informatique-ariana-217573
Téléopérateurs/trices Médicaux en Réception D´Appels – Bilingues  - Sousse ,ALTRACALL,,"Bac, Bac+1, Bac+2, Bac+3, Bac+4 & Bac+5 et plus",Débutant < 2 ans et plus,CDI,Sousse,,29.11.2024,https://www.emploitunisie.com/offre-emploi-tunisie/teleoperateurstrices-medicaux-reception-appels-bilingues-sousse-217837
Télévendeurs Expérimentés - Tunis 1002 Tunisie ,GANIRA TUNISIA,,"Bac, Bac+1, Bac+2, Bac+3, Bac+4 & Bac+5 et plus",Débutant < 2 ans et plus,CDI & CDD,Ariana - Ben Arous - Manouba & Tunis,Négociation - Prospection - Prospection Téléphonique - Télévente - Vente,29.11.2024,https://www.emploitunisie.com/offre-emploi-tunisie/televendeurs-experimentes-tunis-1002-tunisie-217876
 Consultant en Finance - France,FININFO SOLUTIONS,,Bac+5 et plus,Expérience entre 2 ans et 5 ans & Expérience entre 5 ans et 10 ans,CDI,Tunis,Comptabilité - Finance - Gestion - Produits Financiers,29.11.2024,https://www.emploitunisie.com/offre-emploi-tunisie/consultant-finance-france-217934
Télévendeur - Toute La Tunisie,LIDEO COURTAGE,,"Qualification avant bac, Bac, Bac+1, Bac+2, Bac+3, Bac+4 & Bac+5 et plus","Etudiant, jeune diplômé et plus","CDI, CDD, Intérim, Stage, Freelance, Alternance, Temps partiel & Statutaire",International,Communication,29.11.2024,https://www.emploitunisie.com/offre-emploi-tunisie/televendeur-toute-tunisie-218003
Chargé(e) de Sourcing IT - Tunis,RIDCHADATA,,Bac+4 & Bac+5 et plus,Expérience entre 2 ans et 5 ans et plus,CDI & Freelance,Tunis & International,Formation - Recrutement,29.11.2024,https://www.emploitunisie.com/offre-emploi-tunisie/chargee-sourcing-it-tunis-218483
Préparateur de Commandes - Gestion des Stocks - Sfax,REC-INOV,,"Qualification avant bac, Bac, Bac+1, Bac+2, Bac+3, Bac+4 & Bac+5 et plus","Etudiant, jeune diplômé et plus",CDI,Sfax,,29.11.2024,https://www.emploitunisie.com/offre-emploi-tunisie/preparateur-commandes-gestion-stocks-sfax-218539
Business Developer dans le Déménagement International - Tunis Carthage,AGS CARTHAGO MOVING AND STORAGE,,"Bac+2, Bac+3, Bac+4 & Bac+5 et plus",Expérience entre 2 ans et 5 ans et plus,CDI,Tunis,Business Development - Développement Commercial - Négociation - Transport - Vente,29.11.2024,https://www.emploitunisie.com/offre-emploi-tunisie/business-developer-demenagement-international-tunis-carthage-218557
Responsable Opérations dans le Déménagement International - Tunis Carthage,AGS CARTHAGO MOVING AND STORAGE,,"Bac+3, Bac+4 & Bac+5 et plus",Expérience entre 5 ans et 10 ans & Expérience > 10 ans,CDI,Tunis,Amélioration Continue - Flux Logistiques - Gestion - Gestion Logistique - Management - Opérations Logistiques - Planification - Transit - Transport,29.11.2024,https://www.emploitunisie.com/offre-emploi-tunisie/responsable-operations-demenagement-international-tunis-carthage-218562
Responsable du Système Informatique  - Sousse,Groupe Médical les Oliviers,,"Bac+3, Bac+4 & Bac+5 et plus",Expérience entre 5 ans et 10 ans & Expérience > 10 ans,CDD,Sousse,,29.11.2024,https://www.emploitunisie.com/offre-emploi-tunisie/responsable-systeme-informatique-sousse-218729
Télévendeurs  - Tunis,CALLING CALL,,"Qualification avant bac, Bac, Bac+1, Bac+2, Bac+3, Bac+4 & Bac+5 et plus","Etudiant, jeune diplômé et plus",CDI & CDD,Ariana & Tunis,Communication Téléphonique - Contact Téléphonique - Gestion de la Clientèle - Prospection Téléphonique - Télécommunication - Télévente,29.11.2024,https://www.emploitunisie.com/offre-emploi-tunisie/televendeurs-tunis-218736
Agent Commercial - Soukra,BKM DE COMMERCE,,"Qualification avant bac, Bac, Bac+1, Bac+2 & Bac+3","Etudiant, jeune diplômé et plus",CDI,Ariana - Ben Arous - Manouba - Nabeul - Sfax & Tunis,Développement Commercial - Vente,29.11.2024,https://www.emploitunisie.com/offre-emploi-tunisie/agent-commercial-soukra-218901
Comptable Qualifié - Ajim - Djerba ,B2S PRO,,"Bac+3, Bac+4 & Bac+5 et plus",Expérience entre 2 ans et 5 ans et plus,CDI & CDD,Médenine,Comptabilité - Écritures Comptables - Finance - Gestion,29.11.2024,https://www.emploitunisie.com/offre-emploi-tunisie/comptable-qualifie-ajim-djerba-218999
Responsable Comptable H/F - Ajim - Djerba ,B2S PRO,,"Bac+3, Bac+4 & Bac+5 et plus",Expérience entre 2 ans et 5 ans et plus,CDI & CDD,Médenine,Comptabilité - Comptabilité Générale - États Financiers - Finance - Fiscalité - Gestion - Gestion des Encaissements - Suivi de la Trésorerie - Trésorerie,29.11.2024,https://www.emploitunisie.com/offre-emploi-tunisie/responsable-comptable-hf-ajim-djerba-219000
Des Agents pour la Prise des Rendez-Vous  - Kram,ATOLL-SERVICES,,"Bac, Bac+1, Bac+2, Bac+3, Bac+4 & Bac+5 et plus","Etudiant, jeune diplômé et plus","CDI, CDD, Stage & Temps partiel",Ariana - Ben Arous - Manouba & Tunis,CRM - Gestion - Management - Prospection - Prospection Commerciale - Prospection Téléphonique - Vente,29.11.2024,https://www.emploitunisie.com/offre-emploi-tunisie/agents-prise-rendez-vous-kram-219001
Téléopératrice  - Houmt Souk - Djerba ,B2S PRO,,"Bac+1, Bac+2, Bac+3, Bac+4 & Bac+5 et plus",Débutant < 2 ans et plus,CDI & CDD,Médenine,Contact Téléphonique - Prospection - Vente,29.11.2024,https://www.emploitunisie.com/offre-emploi-tunisie/teleoperatrice-houmt-souk-djerba-219002
Chargé(e) d´Accueil et d´Information  - Tunis,EDUFRANCE,,Bac+2 & Bac+3,Débutant < 2 ans,CDD,Tunis,Assistanat - Documents Administratifs - Secrétariat - Vente,29.11.2024,https://www.emploitunisie.com/offre-emploi-tunisie/chargee-accueil-information-tunis-219042
Chargé(e) D´Affaires Académiques (Sales) - Tunis,EDUFRANCE,,"Bac+3, Bac+4 & Bac+5 et plus",Expérience entre 2 ans et 5 ans,CDI,Tunis,Communication - Marketing - Négociation - Négociation Commerciale - Prospection - Prospection Commerciale - Télémarketing - Vente,29.11.2024,https://www.emploitunisie.com/offre-emploi-tunisie/chargee-affaires-academiques-sales-tunis-219050
"Chargé(e) de Service Client, Back Office, Recouvrement - Tunis",NATURABUY,,"Bac, Bac+1, Bac+2, Bac+3, Bac+4 & Bac+5 et plus",Expérience entre 2 ans et 5 ans et plus,CDI,Tunis,Comptabilité - Finance - Formation - Gestion - Gestion des Créances - Recouvrement - Relation Clients,29.11.2024,https://www.emploitunisie.com/offre-emploi-tunisie/chargee-service-client-back-office-recouvrement-tunis-219071
Ingénieur en Electricité - Tunis,KST CONSTRUCTION,,Bac+5 et plus,"Etudiant, jeune diplômé et plus",CDI,Tunis & International,,29.11.2024,https://www.emploitunisie.com/offre-emploi-tunisie/ingenieur-electricite-tunis-219078
Responsable Maintenance - Sidi El Heni 4025,STIT,,"Bac+3, Bac+4 & Bac+5 et plus",Expérience entre 2 ans et 5 ans et plus,CDI & CDD,Sousse,Machines - Maintenance - Maintenance Industrielle - Maintenance Préventive - Production - Qualité - Rebobinage - Réparation,29.11.2024,https://www.emploitunisie.com/offre-emploi-tunisie/responsable-maintenance-sidi-el-heni-4025-219188
Chargés de Développement Commercial - Tunis,GROUPE FRANCE HOLDING,,"Bac, Bac+1, Bac+2, Bac+3, Bac+4 & Bac+5 et plus",Expérience entre 2 ans et 5 ans et plus,CDI,Tunis,Assurance - Développement Commercial - Formation - Négociation - Prospection - Prospection Téléphonique - Vente,29.11.2024,https://www.emploitunisie.com/offre-emploi-tunisie/charges-developpement-commercial-tunis-219329
"Téléconseiller(e)  - 112 Rue Palestine, Tunis ",RENOVCALL,,"Qualification avant bac, Bac, Bac+1, Bac+2, Bac+3, Bac+4 & Bac+5 et plus","Etudiant, jeune diplômé et plus",CDI,Tunis,,29.11.2024,https://www.emploitunisie.com/offre-emploi-tunisie/teleconseillere-112-rue-palestine-tunis-219355
"Télévendeurs  - Belvédère,Tunis ",PREVYOUCALL,,"Qualification avant bac, Bac, Bac+1, Bac+2, Bac+3, Bac+4 & Bac+5 et plus","Etudiant, jeune diplômé et plus",CDI,Tunis,Communication Téléphonique - Télécommunication - Télévente,29.11.2024,https://www.emploitunisie.com/offre-emploi-tunisie/televendeurs-belvederetunis-219356
Production Manager - Sousse,TANIS ,,"Bac+3, Bac+4 & Bac+5 et plus",Expérience entre 5 ans et 10 ans & Expérience > 10 ans,CDI,Sousse,Gestion - Gestion d'Équipe - Gestion de la Production - Leadership - Maintenance - Management - Management Opérationnel - Production - Qualité - Quality,29.11.2024,https://www.emploitunisie.com/offre-emploi-tunisie/production-manager-sousse-219462
Chargé de Développement Commercial - Tunis,GROUPE FRANCE HOLDING,,"Bac, Bac+1, Bac+2, Bac+3, Bac+4 & Bac+5 et plus",Expérience entre 2 ans et 5 ans et plus,CDI,Tunis,Développement Commercial - Négociation - Prospection - Prospection Téléphonique - Vente,29.11.2024,https://www.emploitunisie.com/offre-emploi-tunisie/charge-developpement-commercial-tunis-219487
Chargé d’Accueil Centre Sportif  - Monastir,PADEL UP MONASTIR ,,Bac+3,"Etudiant, jeune diplômé & Débutant < 2 ans",CDI,Monastir,Comptabilité - Finance - Gestion - Management - Planification,29.11.2024,https://www.emploitunisie.com/offre-emploi-tunisie/charge-accueil-centre-sportif-monastir-219501
Esthéticienne  - El Fahs,AR BEAUTY,,"Qualification avant bac, Bac, Bac+1, Bac+2, Bac+3, Bac+4 & Bac+5 et plus","Etudiant, jeune diplômé et plus","CDI, CDD, Intérim, Stage, Freelance, Alternance, Temps partiel & Statutaire",Zaghouan,Vente,29.11.2024,https://www.emploitunisie.com/offre-emploi-tunisie/estheticienne-el-fahs-219530
Ingénieur Développeur Front Javascript en CDI - H/F - Remote,PXO ,,"Bac+3, Bac+4 & Bac+5 et plus",Expérience entre 2 ans et 5 ans et plus,CDI,Tunis,BOOTSTRAP - CSS - JAVASCRIPT - JQUERY - LESS - LINUX,29.11.2024,https://www.emploitunisie.com/offre-emploi-tunisie/ingenieur-developpeur-front-javascript-cdi-hf-remote-219538
 Caissière  - Nabeul,Société YOUSARSSIF ,,Bac,Débutant < 2 ans,Temps partiel,Nabeul,Communication - Service Clients,29.11.2024,https://www.emploitunisie.com/offre-emploi-tunisie/caissiere-nabeul-219667
"Freelances - Kairouan, Tunisia",DIGITAL RISE SOLUTIONS LTD,,"Bac+1, Bac+2, Bac+3, Bac+4 & Bac+5 et plus",Expérience entre 2 ans et 5 ans et plus,"Freelance, Alternance & Temps partiel",Kairouan,3D 2D - 3DS MAX - Animation - Télémarketing,29.11.2024,https://www.emploitunisie.com/offre-emploi-tunisie/freelances-kairouan-tunisia-219670
Assistant(e) Vétérinaire - L´aouina ,CLINIQUE VÉTÉRINAIRE VET&SURG,,"Qualification avant bac, Bac, Bac+1, Bac+2 & Bac+3","Etudiant, jeune diplômé et plus",CDD,Ariana,Assistanat - Assistance - Chirurgie - Domaine Médical - Médecine - Santé - Secrétariat,29.11.2024,https://www.emploitunisie.com/offre-emploi-tunisie/assistante-veterinaire-aouina-219837
"Directeur Technique  - Pointe-Noire, Republique Du Congo",DIANE CONSTRUCTION ENGINEERING,,"Bac+3, Bac+4 & Bac+5 et plus",Expérience entre 5 ans et 10 ans & Expérience > 10 ans,CDD,International,Instrumentation - Maintenance - Mécanique Générale - Qualité - Structure Métallique - Tuyauterie,29.11.2024,https://www.emploitunisie.com/offre-emploi-tunisie/directeur-technique-pointe-noire-republique-congo-219899
Vétérinaire Spécialisé en Aviculture - Mauritanie,MANWORK,,"Bac+3, Bac+4 & Bac+5 et plus",Expérience > 10 ans,CDI & CDD,International,Hygiène - Médecine - Santé - Vaccination,29.11.2024,https://www.emploitunisie.com/offre-emploi-tunisie/veterinaire-specialise-aviculture-mauritanie-219989
Conseillères dans le Service Médical - Djerba,SMART BPO SERVICES,,"Bac+3, Bac+4 & Bac+5 et plus","Etudiant, jeune diplômé & Débutant < 2 ans","CDD, Stage & Freelance",Médenine,Communication - CRM - Formation en Informatique - Marketing - Santé - Télémarketing,29.11.2024,https://www.emploitunisie.com/offre-emploi-tunisie/conseilleres-service-medical-djerba-220008
Développeur Full stack Spring /React confirmé H/F  - Charguia 2 ,FININFO SOLUTIONS,,Bac+5 et plus,Expérience entre 2 ans et 5 ans,CDI,Ariana,AGILE - FULL STACK - GIT - JAVA - JAVASCRIPT - NOSQL - REACT - SCRUM - SPRING - SQL,29.11.2024,https://www.emploitunisie.com/offre-emploi-tunisie/developpeur-full-stack-spring-react-confirme-hf-charguia-2-220081
Directeur(trice)  - Tunis,ECOLE CONTE,,Bac+5 et plus,Expérience entre 5 ans et 10 ans,CDI,Tunis,Amélioration Continue - Communication - Gestion - Gestion Stratégique - Management - Marketing,29.11.2024,https://www.emploitunisie.com/offre-emploi-tunisie/directeurrice-tunis-220174
Assistant(e) Administratif(ve) et Juridique H/F - Tunis,Gexpertise,,Bac+2 & Bac+3,Expérience entre 2 ans et 5 ans,CDI,Tunis,Accompagnement - Administration - Appel d'Offres - Archivage - Assistanat - Assistance - Assistance Administrative - Assistance Juridique - Assurance - Dossiers - Dossiers Administratifs - Gestion de Sinistres - Pack Office - Secrétariat - SHAREPOINT,29.11.2024,https://www.emploitunisie.com/offre-emploi-tunisie/assistante-administratifve-juridique-hf-tunis-220188
German-speaking Customer Service Representative - Akouda-Sousse,7 STARS-CALL,,"Bac, Bac+1, Bac+2, Bac+3, Bac+4 & Bac+5 et plus",Débutant < 2 ans et plus,"CDD, Freelance, Alternance & Temps partiel",Sousse,Communication - Customer Service - Marketing - Télémarketing,29.11.2024,https://www.emploitunisie.com/offre-emploi-tunisie/german-speaking-customer-service-representative-akouda-sousse-220257
